,0
F0.php, E O E INIT_FCALL SEND_VAL INIT_FCALL SEND_VAL DO_ICALL SEND_VAR DO_ICALL FETCH_CONSTANT CONCAT INCLUDE_OR_EVAL REQUIRE INIT_STATIC_METHOD_CALL DO_FCALL RETURN
F1.php, E O E INIT_FCALL INIT_FCALL SEND_VAL DO_ICALL CONCAT SEND_VAL DO_ICALL ASSIGN INIT_FCALL INIT_FCALL SEND_REF DO_ICALL SEND_VAR DO_ICALL INIT_ARRAY RETURN RETURN
F10.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV_INIT INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL FETCH_OBJ_R FETCH_DIM_R FE_RESET_R FE_FETCH_R ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ_EX ISSET_ISEMPTY_DIM_OBJ BOOL_NOT BOOL JMPZ ASSIGN_DIM OP_DATA INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL FETCH_OBJ_W ASSIGN_DIM OP_DATA JMP FE_FREE RETURN E O E RECV FETCH_OBJ_R FETCH_DIM_R INIT_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN RETURN E O E RECV RECV FETCH_OBJ_R FE_RESET_R FE_FETCH_R INIT_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL JMPZ FE_FREE RETURN JMP FE_FREE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV FETCH_OBJ_R FETCH_DIM_R INIT_METHOD_CALL SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN
F100.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1000.php, E O E NOP RETURN E O E RETURN RETURN
F1001.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1002.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1003.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E ASSIGN_OBJ OP_DATA RETURN
F1004.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1005.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1006.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1007.php, E O E NOP RETURN E O E RETURN RETURN
F1008.php, E O E ECHO INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ECHO INIT_FCALL_BY_NAME SEND_VAL_EX SEND_VAL_EX DO_FCALL ECHO RETURN
F101.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1010.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1011.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1012.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1013.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1014.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1015.php, E O E RETURN RETURN
F1016.php, E O E RETURN RETURN
F1017.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL ISSET_ISEMPTY_CV JMPZ INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1018.php, E O E RETURN RETURN
F1019.php, E O E RETURN RETURN
